,Data,UF-Cidade,Temp. Min.,Temp. Max.,Nasc. Sol,Por Sol,% Chuva,IUV,UF,Cidade
189,2019-12-19,PR/Paranaguá,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,PR,Paranaguá
190,2019-12-19,PI/Parnaíba,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,PI,Parnaíba
191,2019-12-19,PA/Abaetetuba,24,33,0 days 06:05:00.000000000,0 days 18:19:00.000000000,87,11,PA,Abaetetuba
192,2019-12-19,MG/Patos-de-Minas,18,29,0 days 05:25:00.000000000,0 days 18:40:00.000000000,80,13,MG,Patos de Minas
193,2019-12-19,SP/Mogi-Guaçu,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,Mogi Guaçu
194,2019-12-19,SP/Franco-da-Rocha,19,24,0 days 05:16:00.000000000,0 days 18:51:00.000000000,87,13,SP,Franco da Rocha
195,2019-12-19,BA/Porto-Seguro,23,29,0 days 04:59:00.000000000,0 days 18:06:00.000000000,5,12,BA,Porto Seguro
196,2019-12-19,RJ/Maricá,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,RJ,Maricá
197,2019-12-19,RJ/Queimados,24,29,0 days 05:05:00.000000000,0 days 18:37:00.000000000,87,13,RJ,Queimados
198,2019-12-19,MG/Pouso-Alegre,20,30,0 days 05:15:00.000000000,0 days 18:45:00.000000000,90,13,MG,Pouso Alegre
199,2019-12-19,SP/Jaú,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,Jaú
